,Check,with,Pin
View : av_func_setup_pw_vmin_tmin_cw
Startpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/s_change_detect_sr_reg_2_/CK
Clock : (R) pll_mux_clk
Endpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_/D
Clock : (R) pll_mux_clk
Slack : =   -0.627
Instance_name,trans,fanout,delay
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23015,0.062,1,0.103
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23016,0.076,1,0.108
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23017,0.072,1,0.107
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23018,0.074,1,0.101
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23019,0.062,1,0.090
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23020,0.054,1,0.097
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23021,0.070,1,0.108
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23022,0.078,1,0.113
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23023,0.078,1,0.111
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23024,0.075,1,0.083
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cpc_drv_buf_27460,0.031,1,0.080
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23025,0.065,1,0.093
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23026,0.057,1,0.098
